ссылаться_VERB	refer_NOUN
кинематографический_ADJ	cinematic_ADJ
этажность_NOUN	storey_NOUN
неточность_NOUN	inaccuracy_NOUN
свободный_ADJ	free_ADJ
интеллект_NOUN	intelligence_NOUN
мультиплекс_NOUN	multiplex_ADJ
фланг_NOUN	flank_VERB
интуиция_NOUN	intuition_NOUN
взлом_NOUN	hack_VERB
приседание_NOUN	squat_NOUN
тревога_NOUN	anxiety_NOUN
отдых_NOUN	recreation_NOUN
команда_NOUN	team_NOUN
настойчивость_NOUN	persistence_NOUN
маска_NOUN	mask_VERB
коммунальный_ADJ	utility_NOUN
выбрать_VERB	choose_VERB
собор_NOUN	cathedral_NOUN
конфессия_NOUN	faith_NOUN
релиз_NOUN	release_NOUN
пытка_NOUN	torture_NOUN
субрегион_NOUN	subregion_NOUN
уровень_NOUN	level_NOUN
приземлиться_VERB	land_VERB
крестный_ADJ	godparent_NOUN
скинхед_NOUN	skinhead_NOUN
отчаянно_ADV	desperately_ADV
испарение_NOUN	evaporation_NOUN
асимптотически_ADV	asymptotically_ADV
презерватив_NOUN	condom_NOUN
каллиграфия_NOUN	calligraphy_NOUN
солидарность_NOUN	solidarity_NOUN
конфигурация_NOUN	configuration_NOUN
коврик_NOUN	mat_NOUN
чакра_NOUN	chakra_NOUN
ликвидация_NOUN	elimination_NOUN
масло_NOUN	butter_NOUN
изучение_NOUN	study_VERB
надругательство_NOUN	abuse_VERB
определить_VERB	determine_VERB
интенсивно_ADV	intense_ADJ
интерметаллид_NOUN	intermetallic_ADJ
преподавание_NOUN	teach_VERB
союзник_NOUN	ally_NOUN
рейтинг_NOUN	rate_VERB
обнаружение_NOUN	detect_VERB
пергамент_NOUN	parchment_NOUN
математика_NOUN	math_NOUN
мы_NOUN	ma_NOUN
уход_NOUN	care_VERB
флот_NOUN	fleet_NOUN
троллинг_NOUN	troll_VERB
жрица_NOUN	priestess_NOUN
возобновление_NOUN	reactivation_NOUN
выставить_VERB	exhibit_VERB
первичный_ADJ	primary_NOUN
буржуа_NOUN	bourgeois_ADJ
ускорение_NOUN	accelerate_VERB
хранилище_NOUN	repository_NOUN
калория_NOUN	calorie_NOUN
подавать_VERB	serve_VERB
шляпа_NOUN	hat_NOUN
сторона_NOUN	party_NOUN
телефон_NOUN	phone_NOUN
несправедливо_ADJ	unfairly_ADV
галоп_NOUN	gallop_VERB
ожидание_NOUN	anticipation_NOUN
патогеть_ADJ	pathogenic_ADJ
космический_ADJ	cosmic_ADJ
биомасса_NOUN	biomass_NOUN
дом_NOUN	house_NOUN
фантастика_NOUN	fantastic_ADJ
отделение_NOUN	branch_NOUN
коротко_ADV	shorter_ADJ
картинка_NOUN	picture_NOUN
рекомбинация_NOUN	recombination_NOUN
путь_NOUN	way_NOUN
легкость_NOUN	lightness_NOUN
меняться_VERB	swap_VERB
формальность_NOUN	technicality_NOUN
пеня_NOUN	stump_VERB
сообщник_NOUN	associate_NOUN
рыбак_NOUN	fisherman_NOUN
цивилизованный_ADJ	civilize_VERB
знакомо_ADJ	familiar_ADJ
булгар_NOUN	bulgar_NOUN
пострадавший_NOUN	victim_NOUN
заинтересованность_NOUN	interest_NOUN
начинать_VERB	start_VERB
зоологический_ADJ	zoological_ADJ
технологически_ADV	technologically_ADV
столб_NOUN	pole_NOUN
чистка_NOUN	cleanse_VERB
юаня_NOUN	renminbi_NOUN
жемчуга_NOUN	pearl_NOUN
агроном_NOUN	agronomist_NOUN
банк_NOUN	bank_NOUN
современный_ADJ	contemporary_ADJ
полушарие_NOUN	hemispheric_ADJ
папарацци_NOUN	paparazzi_NOUN
возможный_ADJ	perhaps_ADV
диагностировать_VERB	diagnose_VERB
продолжительность_NOUN	length_NOUN
право_NOUN	law_NOUN
детство_NOUN	childhood_NOUN
анда_NOUN	ande_NOUN
пламя_NOUN	flame_NOUN
показать_VERB	display_VERB
гиперион_NOUN	hyperion_NOUN
автомобилист_NOUN	motorist_NOUN
утверждать_VERB	assert_VERB
сессия_NOUN	session_NOUN
главный_ADJ	main_ADJ
новорожденный_ADJ	newborn_NOUN
внутренность_NOUN	inside_NOUN
наконец_ADV	finally_ADV
прошлое_NOUN	past_ADJ
глубокий_ADJ	deep_VERB
периметр_NOUN	perimeter_NOUN
паралимпийский_ADJ	paralympic_ADJ
критически_ADV	critically_ADV
демагогия_NOUN	demagoguery_NOUN
коморский_ADJ	comorian_ADJ
упрямство_NOUN	stubbornness_NOUN
негодяй_NOUN	rogue_NOUN
секунда_NOUN	second_NOUN
остаться_VERB	remain_VERB
землевладелец_NOUN	landowner_NOUN
зад_NOUN	ass_NOUN
смирение_NOUN	humility_NOUN
вакцина_NOUN	vaccine_NOUN
педаль_NOUN	pedal_ADJ
гигант_NOUN	giant_NOUN
коэффициент_NOUN	quotient_ADJ
подвязка_NOUN	garter_NOUN
сопровождать_VERB	accompany_VERB
немец_NOUN	german_NOUN
болельщик_NOUN	jersey_NOUN
уничтожить_ADJ	destroy_VERB
крест_NOUN	cross_NOUN
расквартирование_NOUN	cantonment_NOUN
битва_NOUN	battle_NOUN
блеск_NOUN	glitter_NOUN
бензин_NOUN	gas_NOUN
эукариот_NOUN	eukaryote_NOUN
педофил_NOUN	pedophile_NOUN
номер_NOUN	number_NOUN
экспериментальный_ADJ	experimental_ADJ
комфорт_NOUN	comfort_VERB
литография_NOUN	lithograph_NOUN
поднять_VERB	raise_VERB
купать_VERB	bath_VERB
совет_NOUN	council_NOUN
эпистемология_NOUN	epistemology_NOUN
достижение_NOUN	achievement_NOUN
опасение_NOUN	misgiving_NOUN
уругваец_NOUN	uruguayan_NOUN
злодей_NOUN	miscreant_NOUN
опрос_NOUN	survey_NOUN
дополнять_VERB	complement_NOUN
аэропорт_NOUN	airport_NOUN
болезнь_NOUN	illness_NOUN
вести_VERB	guide_NOUN
отклонить_VERB	deny_VERB
планета_NOUN	planet_NOUN
егерь_NOUN	jaeger_NOUN
жаловаться_VERB	complain_VERB
имитировать_VERB	mimic_NOUN
отказаться_VERB	refuse_VERB
занятость_NOUN	employment_NOUN
сложность_NOUN	complexity_NOUN
неорганический_ADJ	inorganic_ADJ
незначительный_ADJ	minor_ADJ
блокирование_NOUN	block_VERB
петля_NOUN	loop_VERB
держателя_NOUN	holder_NOUN
скорость_NOUN	velocity_NOUN
пятый_ADJ	fifth_NOUN
потасовка_NOUN	scuffle_NOUN
бред_NOUN	delusional_ADJ
удушение_NOUN	suffocation_NOUN
созревание_NOUN	ripen_VERB
искать_VERB	search_NOUN
штаны_NOUN	pant_NOUN
взломать_VERB	hack_NOUN
сауна_ADJ	sauna_NOUN
скучно_ADV	bore_VERB
сомнение_NOUN	doubt_NOUN
юриспруденция_NOUN	jurisprudence_NOUN
стимулирование_NOUN	stimulation_NOUN
мысль_NOUN	think_VERB
советник_NOUN	counsel_NOUN
гипотетически_ADV	hypothetically_ADV
нарушение_NOUN	breach_VERB
судья_NOUN	justice_NOUN
изображать_VERB	portray_VERB
колониализм_NOUN	colonialism_NOUN
сосредоточиться_VERB	concentrate_NOUN
розыгрыш_NOUN	prank_NOUN
напарник_NOUN	partner_NOUN
свободно_ADV	free_ADJ
удобство_NOUN	amenity_NOUN
металлический_ADJ	metal_ADJ
признать_VERB	recognize_VERB
местный_ADJ	local_NOUN
скромно_ADV	humble_ADJ
исчерпать_VERB	exhaust_VERB
опустошить_VERB	empty_VERB
карниз_NOUN	eave_NOUN
нерешительность_NOUN	indecision_NOUN
уничтожение_NOUN	annihilation_NOUN
платье_NOUN	dress_NOUN
колье_NOUN	necklace_NOUN
часовня_NOUN	chapel_NOUN
материнский_ADJ	maternal_ADJ
мигрант_NOUN	migrant_NOUN
гинекология_NOUN	gynaecology_NOUN
исторический_ADJ	historic_ADJ
оттенок_NOUN	shade_NOUN
середина_NOUN	midpoint_ADJ
парабеллум_NOUN	parabellum_NOUN
доза_NOUN	dose_VERB
проверка_NOUN	check_VERB
сметь_VERB	dare_NOUN
замечание_NOUN	remark_NOUN
архитектор_NOUN	architect_NOUN
трещина_NOUN	crack_NOUN
дворец_NOUN	palace_NOUN
номенклатура_NOUN	nomenclature_NOUN
пай_NOUN	pai_NOUN
опт_NOUN	wholesale_NOUN
падчерица_NOUN	stepdaughter_NOUN
умение_NOUN	skill_NOUN
стойкость_NOUN	resilience_NOUN
принять_VERB	accept_VERB
эскимос_NOUN	eskimo_NOUN
мастерство_NOUN	mastery_NOUN
лужицкий_ADJ	lusatian_ADJ
надежный_NOUN	dependable_ADJ
бифуркация_NOUN	bifurcation_NOUN
следствие_NOUN	consequence_NOUN
море_NOUN	sea_NOUN
преобладание_NOUN	predominance_NOUN
воссоединиться_VERB	reconnect_VERB
машина_NOUN	machine_NOUN
овать_VERB	oval_ADJ
помеха_NOUN	hindrance_NOUN
курсив_VERB	italic_ADJ
экологический_ADJ	environmental_ADJ
головастика_NOUN	tadpole_NOUN
ростовщик_NOUN	moneylender_NOUN
рация_NOUN	radio_NOUN
флорин_NOUN	florin_NOUN
галька_NOUN	pebble_NOUN
яркость_NOUN	brightness_NOUN
отклонение_NOUN	deviation_NOUN
предмет_NOUN	item_NOUN
резинка_NOUN	rubber_NOUN
преференция_NOUN	preference_NOUN
стаж_NOUN	seniority_NOUN
топливо_NOUN	fuel_NOUN
допустить_ADJ	admissible_ADJ
костер_NOUN	bonfire_NOUN
промывание_NOUN	lavage_NOUN
состав_NOUN	formulation_NOUN
мантра_NOUN	mantra_NOUN
умереть_ADJ	temperate_VERB
президиум_NOUN	presidency_NOUN
семантически_ADV	semantically_ADV
человек_NOUN	person_NOUN
продольный_ADJ	longitudinal_ADJ
реорганизовать_VERB	reorganize_VERB
набрать_VERB	score_VERB
опоздать_VERB	late_ADV
поза_NOUN	pose_NOUN
электромагнитный_ADJ	electromagnetic_ADJ
манда_NOUN	mande_NOUN
пересмотреть_VERB	review_NOUN
геологический_ADJ	geologic_ADJ
тирион_NOUN	tyrion_NOUN
усть_NOUN	ust_VERB
расход_NOUN	expense_NOUN
автоматика_NOUN	automatic_NOUN
скаут_NOUN	scout_NOUN
тоннель_NOUN	tunnel_NOUN
праздник_NOUN	feast_VERB
тесно_ADV	closely_ADV
оппозиция_NOUN	opposition_NOUN
индеец_NOUN	indian_NOUN
смотреть_VERB	view_VERB
запись_NOUN	record_NOUN
держать_VERB	apprehend_VERB
воспоминание_NOUN	memory_NOUN
лагерь_NOUN	camp_NOUN
респект_NOUN	respect_VERB
монография_NOUN	monograph_NOUN
стоимость_NOUN	cost_NOUN
включительно_ADV	inclusive_ADJ
написание_NOUN	write_VERB
воплощение_NOUN	embodiment_NOUN
чердак_NOUN	attic_ADJ
этажный_ADJ	storey_NOUN
намек_NOUN	hint_NOUN
звучать_VERB	sound_NOUN
предварительно_ADV	tentatively_ADV
нарост_NOUN	growth_NOUN
мистика_NOUN	mystic_ADJ
радикально_ADV	radically_ADV
калька_NOUN	cripple_NOUN
митинг_NOUN	rally_NOUN
найти_VERB	find_NOUN
пирожное_NOUN	cake_NOUN
раскадровка_NOUN	storyboard_NOUN
видеть_VERB	see_VERB
добыча_NOUN	extraction_NOUN
иммигрировать_VERB	immigrate_VERB
коммерчески_ADV	commercially_ADV
приблизительно_ADV	roughly_ADV
добавлять_VERB	add_NOUN
ужасный_ADJ	horrible_ADJ
разделить_VERB	divide_VERB
федеративный_ADJ	federative_ADJ
освободитель_NOUN	liberator_NOUN
изотопный_ADJ	isotopic_ADJ
подросток_NOUN	adolescent_ADJ
переформулировать_VERB	reformulate_VERB
сосиска_NOUN	banger_NOUN
сброс_NOUN	dump_VERB
производитель_NOUN	manufacturer_NOUN
влиять_VERB	affect_NOUN
пополнение_NOUN	replenishment_NOUN
способствовать_VERB	contribute_VERB
брендинг_NOUN	brand_VERB
многообразие_NOUN	diversity_NOUN
установка_NOUN	installation_NOUN
переносный_ADJ	portable_ADJ
обмануть_VERB	cheat_NOUN
посещение_NOUN	visit_NOUN
гимнастка_NOUN	gymnast_NOUN
братство_NOUN	brotherhood_NOUN
счастливый_VERB	happy_ADJ
сатанизм_NOUN	satanism_NOUN
сыпь_NOUN	rash_NOUN
анархист_NOUN	anarchist_NOUN
какао_NOUN	cocoa_NOUN
католик_NOUN	catholic_NOUN
притвор_NOUN	narthex_NOUN
нападение_NOUN	attack_NOUN
гетеросексуальный_ADJ	heterosexual_ADJ
босс_NOUN	boss_NOUN
британец_NOUN	briton_NOUN
предмет_NOUN	subject_VERB
причинение_NOUN	infliction_NOUN
миллиард_NOUN	billion_NOUN
раса_NOUN	ra_NOUN
виртуальный_ADJ	virtual_ADJ
археология_NOUN	archeology_NOUN
позитивный_ADJ	positive_NOUN
марсианский_ADJ	martian_NOUN
дядя_NOUN	uncle_NOUN
печать_VERB	sadness_NOUN
предосторожность_NOUN	precaution_NOUN
британец_NOUN	brit_NOUN
рубль_NOUN	rouble_NOUN
овраг_NOUN	gully_NOUN
исключение_NOUN	exception_NOUN
чипсет_NOUN	chipset_NOUN
преднамеренно_ADV	intentionally_ADV
допуск_NOUN	admission_NOUN
перераспределение_NOUN	reallocation_NOUN
полет_NOUN	flight_NOUN
прыгать_VERB	jump_VERB
дар_NOUN	gift_NOUN
риторический_ADJ	rhetorical_ADJ
капсула_NOUN	capsule_NOUN
край_NOUN	edge_NOUN
колесница_NOUN	chariot_NOUN
индейка_NOUN	turkey_NOUN
биометрический_ADJ	biometric_ADJ
висеть_VERB	hang_VERB
дидактический_ADJ	didactic_ADJ
толпа_NOUN	mob_NOUN
узнавать_VERB	recognizable_ADJ
реактор_NOUN	reactor_NOUN
операционный_ADJ	operate_VERB
граница_NOUN	boundary_NOUN
бросить_VERB	cast_NOUN
подтвердить_VERB	confirm_VERB
живот_NOUN	stomach_VERB
шедевр_NOUN	masterpiece_NOUN
смелость_NOUN	boldness_NOUN
лесник_NOUN	forester_NOUN
отложить_VERB	postpone_VERB
наноматериал_NOUN	nanomaterial_NOUN
взлом_NOUN	break_VERB
полоса_NOUN	stripe_NOUN
ложка_NOUN	spoon_NOUN
криминалист_NOUN	forensic_NOUN
психолог_NOUN	psychologist_NOUN
клубень_NOUN	tuber_NOUN
отходить_VERB	depart_VERB
повар_NOUN	chef_NOUN
планировщик_NOUN	planner_NOUN
романтически_ADV	romantically_ADV
льготный_ADJ	concessional_ADJ
свет_NOUN	lay_NOUN
демократический_ADJ	democratic_ADJ
лапа_NOUN	clutch_NOUN
монополизация_NOUN	monopolization_NOUN
невесомость_NOUN	weightlessness_NOUN
приветствие_NOUN	salutation_NOUN
кастор_NOUN	castor_NOUN
гладиатор_NOUN	gladiator_NOUN
пастель_NOUN	pastel_NOUN
заболевание_NOUN	illness_NOUN
изображение_NOUN	image_NOUN
вилла_NOUN	ville_NOUN
освобождение_NOUN	emancipation_NOUN
наклейка_NOUN	sticker_NOUN
фанат_NOUN	fan_NOUN
хирургия_NOUN	surgery_NOUN
собеседование_NOUN	interview_NOUN
камера_NOUN	chamber_NOUN
апологет_NOUN	apologist_NOUN
удаленность_NOUN	remoteness_NOUN
отъезд_NOUN	departure_NOUN
уже_ADV	already_ADV
противостояние_NOUN	opposition_NOUN
гравитация_NOUN	gravitation_NOUN
отвлекать_VERB	distraction_NOUN
столица_NOUN	capital_NOUN
правило_NOUN	rule_NOUN
фактор_NOUN	factor_NOUN
преодоление_NOUN	bridge_VERB
консерватор_NOUN	conservative_NOUN
оплакивание_NOUN	lamentation_NOUN
стража_NOUN	custody_NOUN
незнание_NOUN	ignorance_NOUN
собраться_VERB	gather_VERB
ружье_NOUN	shotgun_NOUN
рискнуть_VERB	risk_VERB
нога_NOUN	leg_NOUN
добыча_NOUN	spoil_NOUN
сезонность_NOUN	seasonality_NOUN
партизан_NOUN	partisan_NOUN
носок_NOUN	sock_NOUN
изгнание_NOUN	banishment_NOUN
мятеж_NOUN	rebellion_NOUN
объединение_NOUN	merge_VERB
амфитеатр_NOUN	amphitheatre_NOUN
атлас_NOUN	atla_NOUN
обманывать_VERB	trick_VERB
шокировать_VERB	shock_VERB
схема_NOUN	scheme_NOUN
изогнуть_VERB	curve_VERB
золотой_ADJ	golden_ADJ
рассмотреть_VERB	review_VERB
эрудиция_NOUN	erudition_NOUN
гомоморфизм_NOUN	homomorphism_NOUN
роман_NOUN	romance_NOUN
микроб_NOUN	microbe_NOUN
выполнить_VERB	fulfil_VERB
шовинизм_NOUN	chauvinism_NOUN
монета_NOUN	coin_NOUN
согласование_NOUN	alignment_NOUN
кулак_NOUN	fist_NOUN
литавры_NOUN	timpani_NOUN
ограбление_NOUN	burglary_NOUN
сотрудничество_NOUN	collaboration_NOUN
вена_NOUN	vein_NOUN
век_NOUN	age_NOUN
красный_ADJ	red_NOUN
педиатр_NOUN	pediatrician_NOUN
обогащение_NOUN	enrichment_NOUN
шиллинг_NOUN	shilling_NOUN
лестница_NOUN	stairway_NOUN
менять_VERB	switch_VERB
стекло_NOUN	glass_NOUN
возникнуть_VERB	arise_VERB
архаичный_ADJ	archaic_ADJ
несогласие_NOUN	disagree_VERB
эстетический_ADJ	aesthetic_ADJ
налогоплательщик_NOUN	taxpayer_NOUN
магнат_NOUN	magnate_VERB
махинация_NOUN	machination_NOUN
подвал_NOUN	cellar_NOUN
быстрый_ADJ	fast_VERB
аптека_NOUN	pharmacy_NOUN
сформировать_VERB	form_VERB
централизованно_ADV	centrally_ADV
делимость_NOUN	separability_NOUN
лапша_NOUN	noodle_NOUN
спичка_NOUN	match_NOUN
необычный_ADJ	unusual_ADJ
зауропод_NOUN	sauropod_NOUN
принять_VERB	adopt_VERB
натура_NOUN	nature_NOUN
финик_NOUN	date_NOUN
пси_NOUN	psi_NOUN
приобретение_NOUN	acquisition_NOUN
бюрократия_NOUN	bureaucracy_NOUN
календарь_NOUN	calendar_NOUN
киль_NOUN	keel_NOUN
паста_NOUN	paste_VERB
стимулировать_VERB	stimulate_VERB
мема_NOUN	meme_NOUN
замена_NOUN	substitute_VERB
лорд_NOUN	lord_NOUN
фигурка_NOUN	figurine_NOUN
утешение_NOUN	consolation_NOUN
желать_VERB	wish_VERB
увольнение_NOUN	dismissal_NOUN
тэг_NOUN	tag_NOUN
метеорит_NOUN	meteorite_NOUN
мешать_VERB	mix_VERB
взаимоотношение_NOUN	relationship_NOUN
отдых_NOUN	vacation_NOUN
необратимо_ADJ	irreversibly_ADV
травма_NOUN	injury_NOUN
проверка_NOUN	inspection_NOUN
прочь_ADV	away_ADV
хижина_NOUN	hut_NOUN
шар_NOUN	balloon_NOUN
усталость_NOUN	weariness_NOUN
светлость_NOUN	lordship_NOUN
охотница_NOUN	huntress_NOUN
несовместимость_NOUN	incompatibility_NOUN
коррупция_NOUN	corruption_NOUN
насмешка_ADV	mockery_NOUN
прибыть_VERB	profit_NOUN
взаимодействовать_VERB	interact_NOUN
погашение_NOUN	repayment_NOUN
родство_NOUN	affinity_NOUN
перегрев_NOUN	overheat_VERB
папа_NOUN	dad_NOUN
методологически_ADV	methodologically_ADV
мюзикл_NOUN	musical_NOUN
арка_NOUN	arch_NOUN
отображение_NOUN	show_VERB
раскаяться_VERB	repent_VERB
страх_NOUN	fear_NOUN
вымогательство_NOUN	extortion_NOUN
амбиция_NOUN	ambition_NOUN
край_NOUN	krai_NOUN
терапевт_NOUN	therapist_NOUN
ястреб_NOUN	hawk_NOUN
рэп_NOUN	rap_VERB
продавец_NOUN	salesman_NOUN
дискриминация_NOUN	discrimination_NOUN
существенный_ADJ	substantial_ADJ
радостно_ADV	joyfully_ADV
вежливость_NOUN	politeness_NOUN
порыв_NOUN	gust_VERB
полицейский_NOUN	cop_VERB
рекомендовать_VERB	recommend_VERB
чудак_NOUN	weirdo_NOUN
прелесть_NOUN	precious_ADJ
число_NOUN	number_NOUN
пен_NOUN	foam_VERB
атака_NOUN	assault_NOUN
геморрагический_ADJ	hemorrhagic_ADJ
появление_NOUN	emergence_NOUN
моряк_NOUN	seaman_NOUN
скот_NOUN	cattle_NOUN
смена_NOUN	shift_NOUN
стойкий_ADJ	persistent_ADJ
закрытие_NOUN	close_VERB
свадебный_ADJ	bridal_ADJ
раздвоить_VERB	bifurcate_VERB
поставка_NOUN	delivery_NOUN
контрастировать_VERB	contrast_VERB
ползучий_NOUN	repen_NOUN
питание_NOUN	nutrition_NOUN
бутылка_NOUN	bottle_NOUN
невозможный_ADJ	impossible_ADJ
реалистично_ADV	realistically_ADV
горячо_ADJ	hot_ADJ
богатый_ADJ	wealthier_ADJ
локализация_NOUN	localization_NOUN
приказ_NOUN	order_NOUN
гравитационно_ADV	gravitationally_ADV
пол_NOUN	floor_NOUN
запрещать_VERB	prohibit_VERB
чулок_NOUN	stock_VERB
взрывчатка_NOUN	explosive_ADJ
частота_NOUN	frequency_NOUN
пляж_NOUN	beach_VERB
сердечно_ADV	cordially_ADV
семейный_ADJ	family_NOUN
звонить_VERB	call_VERB
расквартирование_NOUN	quarter_VERB
метка_NOUN	tag_NOUN
дифференциация_NOUN	differentiation_NOUN
рента_NOUN	rent_NOUN
пора_NOUN	pore_NOUN
транзит_NOUN	transit_NOUN
ый_NOUN	wmd_NOUN
вовлечь_VERB	involve_VERB
кэт_NOUN	cat_NOUN
краб_NOUN	crab_NOUN
юнион_NOUN	union_NOUN
макууть_NOUN	makuuchi_NOUN
палладий_NOUN	palladium_NOUN
отчетливо_ADV	distinctly_ADV
однодневка_NOUN	mayfly_NOUN
апостольский_ADJ	apostolic_ADJ
груша_NOUN	pear_NOUN
возможный_ADJ	possibly_ADV
катастрофический_ADJ	disastrous_ADJ
мудро_ADV	wisely_ADV
слуга_NOUN	servant_NOUN
туалет_NOUN	toilet_NOUN
освятить_VERB	consecrate_VERB
сандалие_NOUN	sandal_NOUN
цент_NOUN	dime_NOUN
несчастье_NOUN	unhappiness_NOUN
господин_NOUN	gentleman_NOUN
организационный_ADJ	organisational_ADJ
бойня_NOUN	slaughter_NOUN
проникновение_NOUN	infiltration_NOUN
лавр_NOUN	laurel_NOUN
кривая_NOUN	curve_NOUN
консультация_NOUN	consultation_NOUN
гильза_NOUN	casing_NOUN
желча_NOUN	bile_NOUN
инквизиция_NOUN	inquisition_NOUN
узурпация_NOUN	usurp_VERB
мария_NOUN	mary_NOUN
кадиллак_NOUN	cadillac_NOUN
распечатать_VERB	print_NOUN
хореограф_NOUN	choreographer_NOUN
разочарование_NOUN	disappoint_VERB
беспристрастно_ADV	impartial_ADJ
подарок_NOUN	present_NOUN
сотрудник_NOUN	employee_NOUN
недвижимость_NOUN	property_NOUN
смиренно_ADV	humbly_ADV
механика_NOUN	mechanic_NOUN
атеист_NOUN	atheist_NOUN
центр_NOUN	center_NOUN
щедро_ADV	generously_ADV
пробка_NOUN	cork_VERB
стронций_NOUN	strontium_NOUN
кладка_NOUN	masonry_NOUN
вызов_NOUN	challenge_VERB
присяжный_ADJ	juror_NOUN
депутат_NOUN	deputy_NOUN
аберрация_NOUN	aberration_NOUN
украсить_VERB	decorate_VERB
бездна_NOUN	abyss_NOUN
основание_NOUN	ground_NOUN
театральный_ADJ	theatrical_ADJ
собрать_VERB	gather_VERB
расти_VERB	ro_NOUN
шкура_NOUN	hide_NOUN
заголовок_NOUN	title_NOUN
зависимость_NOUN	dependence_NOUN
модернизм_NOUN	modernism_NOUN
мак_NOUN	poppy_NOUN
неустойчивость_NOUN	instability_NOUN
католикос_NOUN	catholico_NOUN
пиктограмма_NOUN	pictogram_NOUN
право_NOUN	right_NOUN
силуэт_NOUN	silhouette_VERB
беспокойство_NOUN	anxiety_NOUN
ленточка_NOUN	streamer_NOUN
бесконечно_ADV	infinitely_ADV
дружественный_ADJ	amicable_ADJ
корзина_NOUN	basket_NOUN
бокс_NOUN	box_VERB
правонарушение_NOUN	offence_NOUN
достаточный_ADJ	adequate_ADJ
молдавский_ADJ	moldavian_ADJ
маршрутизатор_NOUN	router_NOUN
бутерброд_NOUN	sandwich_VERB
первоначально_ADV	originally_ADV
обычно_ADV	usually_ADV
вратарь_NOUN	goalkeeper_NOUN
долгожитель_NOUN	centenarian_NOUN
быстро_ADV	quickly_ADV
беглец_NOUN	fugitive_ADJ
бедствие_NOUN	disaster_NOUN
египтолог_NOUN	egyptologist_NOUN
кливер_NOUN	jib_NOUN
дирижабль_NOUN	blimp_NOUN
удобство_NOUN	convenience_NOUN
генетический_ADJ	genetic_ADJ
командир_NOUN	commander_NOUN
подразумевать_VERB	imply_VERB
стервятник_NOUN	vulture_NOUN
пожарный_ADJ	fireman_NOUN
смола_NOUN	resin_NOUN
координация_NOUN	coordinate_VERB
руководство_NOUN	guidance_NOUN
рисунок_NOUN	draw_VERB
терьер_NOUN	terrier_NOUN
граница_NOUN	boundary_ADJ
префектура_NOUN	prefecture_NOUN
повторяемость_NOUN	repeatability_NOUN
чемпион_NOUN	champ_NOUN
десятичный_ADJ	decimal_ADJ
пропускать_VERB	skip_NOUN
контейнерный_ADJ	containerize_VERB
жаркий_ADJ	roast_VERB
нога_NOUN	feet_NOUN
шиллинг_NOUN	shill_VERB
настройка_NOUN	configuration_NOUN
мода_NOUN	fashion_NOUN
производительность_NOUN	performance_NOUN
металлообработка_NOUN	metalwork_VERB
дух_NOUN	spirit_NOUN
пульс_NOUN	pulse_VERB
